type,id,brand,model,year,tire_type,inner_tube,price_range,width_specified,width_measured,width_specified_unit,weight_specified,weight_measured,tread,casing,perc_tread,rr_medium,rr_high,rr_extra_high,rr_ultra_high,wet_grip_average,wet_grip_center,wet_grip_edge,puncture_score_tread,puncture_score_sidewall,puncture_force_sharp_tread,puncture_force_sharp_sidewall,puncture_force_blunt_tread,puncture_force_blunt_sidewall,tire_thickness_tread,tire_thickness_sidewall,rating,replaced,rr_extra_low,rr_low,knob_height_center,knob_height_edge
road,goodyear-eagle-f1-r,Goodyear,Eagle F1 R TLC 28,2023.0,TLR,None,High+,28.0,28.5,mm,310.0,310.0,28.0,72.0,39.0,17.8,14.7,12.8,11.7,75.0,80.0,71.0,52.0,17.0,11.8,5.8,11.8,5.6,2.4,1.05,4.3,False,,,,
road,challenge-strada-pro-htlr,Challenge,Strada Pro HTLR 25,2022.0,TLR,None,High+,25.0,25.0,mm,255.0,261.0,30.0,67.0,45.0,15.7,13.4,12.4,11.8,59.0,58.0,60.0,50.0,16.0,12.2,5.0,10.6,5.8,2.4,1.0,3.5,False,,,,
road,schwalbe-one-tubeless-2014,Schwalbe,One Tubeless 25,2014.0,TLR,None,High,25.0,26.3,mm,340.0,344.0,,,,16.3,13.8,12.5,11.8,,,,58.0,26.0,12.2,8.0,,,2.9,1.2,4.0,True,,,,
road,vittoria-rubino-pro-speed-2016,Vittoria,Rubino Pro Speed 25,2016.0,TT,Butyl,High,25.0,26.9,mm,190.0,206.0,32.0,63.0,51.0,17.4,14.3,12.6,11.9,,,,37.0,8.0,8.8,3.0,,,2.3,0.5,4.0,True,,,,
road,veloflex-corsa-evo-tlr,Veloflex,Corsa Evo TLR 25,2021.0,TLR,None,High,25.0,25.4,mm,235.0,236.0,31.0,67.0,46.0,16.7,14.4,12.8,11.9,68.0,70.0,67.0,60.0,18.0,14.2,6.2,13.2,6.0,2.4,0.95,4.0,False,,,,
road,hutchinson-fusion-5-galactik-tlr-11storm,Hutchinson,Fusion 5 Galactik TLR 11Storm 25,2021.0,TLR,None,High,25.0,26.9,mm,240.0,226.0,24.0,65.0,37.0,16.9,14.8,13.1,12.0,65.0,63.0,67.0,43.0,23.0,10.0,7.6,9.4,7.6,2.4,1.05,3.5,False,,,,
road,vittoria-corsa-next-tlr-28,Vittoria,Corsa N.EXT TLR 28,2022.0,TLR,None,High,28.0,28.8,mm,330.0,298.0,27.0,71.0,38.0,16.1,14.1,12.9,12.1,72.0,70.0,74.0,51.0,17.0,10.0,6.2,10.0,4.8,3.1,1.0,4.5,False,,,,
road,wolfpack-road-race,Wolfpack,Road Race 26,2020.0,TT,Butyl,High,26.0,26.9,mm,225.0,247.0,32.0,66.0,48.0,19.2,15.5,13.3,12.1,67.0,58.0,76.0,48.0,12.0,10.8,4.6,8.8,4.8,2.9,0.6,4.0,False,,,,
road,vittoria-corsa-g2-tlr,Vittoria,Corsa G+ 2.0 TLR 25,2020.0,TLR,None,High,25.0,26.7,mm,290.0,297.0,31.0,69.0,45.0,16.8,14.3,12.8,12.2,70.0,69.0,71.0,54.0,15.0,12.4,5.2,10.2,4.4,2.8,1.05,4.0,False,,,,
road,continental-grand-prix-4000s-ii-2014,Continental,Grand Prix 4000S II 25,2014.0,TT,Butyl,High,25.0,27.2,mm,225.0,215.0,,,,15.5,13.7,12.9,12.2,,,,52.0,14.0,11.0,5.4,,,2.9,0.55,5.0,True,,,,
road,vittoria-corsa-graphene-2016,Vittoria,Corsa G+ 1.0 (open) 25,2016.0,TT,Butyl,High,25.0,26.8,mm,240.0,255.0,,,,16.3,14.1,12.9,12.2,,,,47.0,15.0,11.0,5.6,,,2.4,0.75,5.0,True,,,,
road,schwalbe-one-vguard-clincher-2014,Schwalbe,One V-Guard 25,2014.0,TT,Butyl,High,25.0,27.0,mm,225.0,243.0,,,,16.6,14.0,12.8,12.3,,,,59.0,12.0,12.4,4.6,,,2.9,0.5,5.0,True,,,,
road,vittoria-corsa-g-tubular-2016,Vittoria,Corsa G+ (tubular) 25,2016.0,TU,Tubular,High+,25.0,24.8,mm,280.0,281.0,,,,16.4,14.1,12.8,12.3,,,,49.0,10.0,11.6,3.6,,,2.3,0.65,5.0,False,,,,
road,veloflex-corsa-race,Veloflex,Corsa Race (clincher) 25,2021.0,TT,Butyl,High,25.0,25.6,mm,200.0,203.0,31.0,68.0,46.0,17.0,14.5,13.1,12.3,69.0,67.0,71.0,54.0,14.0,12.4,6.0,14.0,4.0,2.1,0.7,4.0,False,,,,
road,vittoria-corsa-next-tlr,Vittoria,Corsa N.EXT TLR 26,2022.0,TLR,None,High,26.0,26.1,mm,285.0,268.0,26.0,65.0,40.0,16.9,14.6,13.2,12.3,73.0,74.0,73.0,52.0,17.0,10.0,5.6,10.8,5.2,3.0,1.1,4.5,False,,,,
road,michelin-power-road-2020,Michelin,Power Road 25,2020.0,TT,Butyl,High,25.0,26.5,mm,235.0,239.0,28.0,67.0,42.0,18.2,15.1,13.3,12.4,68.0,66.0,69.0,55.0,13.0,11.2,4.6,11.8,5.2,2.8,0.7,4.0,False,,,,
